Date and time,Weather condition,Temperature
2023-11-23 00:00,Patchy rain possible,10.3
2023-11-23 01:00,Patchy rain possible,10.3
2023-11-23 02:00,Patchy rain possible,10.4
2023-11-23 03:00,Patchy rain possible,10.4
2023-11-23 04:00,Patchy rain possible,10.1
2023-11-23 05:00,Overcast,9.9
2023-11-23 06:00,Overcast,9.9
2023-11-23 07:00,Patchy rain possible,9.8
2023-11-23 08:00,Patchy rain possible,9.6
2023-11-23 09:00,Patchy rain possible,9.7
2023-11-23 10:00,Patchy rain possible,9.7
2023-11-23 11:00,Overcast,9.8
2023-11-23 12:00,Cloudy,9.7
2023-11-23 13:00,Partly cloudy,10.0
2023-11-23 14:00,Cloudy,10.3
2023-11-23 15:00,Cloudy,10.2
2023-11-23 16:00,Overcast,10.1
2023-11-23 17:00,Overcast,10.2
2023-11-23 18:00,Patchy rain possible,10.4
2023-11-23 19:00,Patchy rain possible,10.5
2023-11-23 20:00,Patchy rain possible,10.6
2023-11-23 21:00,Patchy rain possible,10.8
2023-11-23 22:00,Light drizzle,10.8
2023-11-23 23:00,Light rain shower,10.3
2023-11-24 00:00,Patchy rain possible,9.3
2023-11-24 01:00,Patchy rain possible,9.0
2023-11-24 02:00,Cloudy,8.6
2023-11-24 03:00,Patchy rain possible,7.9
2023-11-24 04:00,Patchy rain possible,7.5
2023-11-24 05:00,Patchy rain possible,7.3
2023-11-24 06:00,Patchy rain possible,7.2
2023-11-24 07:00,Patchy rain possible,7.2
2023-11-24 08:00,Patchy rain possible,7.3
2023-11-24 09:00,Patchy rain possible,7.4
2023-11-24 10:00,Cloudy,7.6
2023-11-24 11:00,Patchy rain possible,7.4
2023-11-24 12:00,Patchy rain possible,7.4
2023-11-24 13:00,Patchy rain possible,7.8
2023-11-24 14:00,Sunny,7.7
2023-11-24 15:00,Sunny,6.5
2023-11-24 16:00,Sunny,4.6
2023-11-24 17:00,Clear,3.6
2023-11-24 18:00,Clear,3.2
2023-11-24 19:00,Clear,2.8
2023-11-24 20:00,Clear,2.6
2023-11-24 21:00,Clear,2.2
2023-11-24 22:00,Clear,1.8
2023-11-24 23:00,Clear,1.4
2023-11-25 00:00,Clear,1.4
2023-11-25 01:00,Clear,1.6
2023-11-25 02:00,Clear,1.8
2023-11-25 03:00,Partly cloudy,2.1
2023-11-25 04:00,Partly cloudy,2.4
2023-11-25 05:00,Cloudy,2.6
2023-11-25 06:00,Cloudy,3.3
2023-11-25 07:00,Cloudy,3.5
2023-11-25 08:00,Partly cloudy,3.5
2023-11-25 09:00,Partly cloudy,4.2
2023-11-25 10:00,Partly cloudy,5.6
2023-11-25 11:00,Partly cloudy,6.8
2023-11-25 12:00,Overcast,7.0
2023-11-25 13:00,Overcast,6.9
2023-11-25 14:00,Cloudy,6.6
2023-11-25 15:00,Patchy rain possible,6.2
2023-11-25 16:00,Cloudy,5.5
2023-11-25 17:00,Cloudy,5.3
2023-11-25 18:00,Cloudy,5.2
2023-11-25 19:00,Cloudy,4.9
2023-11-25 20:00,Cloudy,4.7
2023-11-25 21:00,Cloudy,4.5
2023-11-25 22:00,Cloudy,4.0
2023-11-25 23:00,Partly cloudy,3.7
