Date and time,Weather condition,Temperature
2023-11-23 00:00,Overcast,11.9
2023-11-23 01:00,Overcast,12.0
2023-11-23 02:00,Cloudy,10.4
2023-11-23 03:00,Cloudy,10.1
2023-11-23 04:00,Overcast,11.0
2023-11-23 05:00,Cloudy,11.5
2023-11-23 06:00,Overcast,11.3
2023-11-23 07:00,Overcast,11.3
2023-11-23 08:00,Overcast,11.2
2023-11-23 09:00,Cloudy,11.1
2023-11-23 10:00,Cloudy,11.4
2023-11-23 11:00,Partly cloudy,11.9
2023-11-23 12:00,Partly cloudy,12.3
2023-11-23 13:00,Partly cloudy,12.4
2023-11-23 14:00,Sunny,12.5
2023-11-23 15:00,Partly cloudy,11.8
2023-11-23 16:00,Partly cloudy,11.1
2023-11-23 17:00,Partly cloudy,11.0
2023-11-23 18:00,Overcast,11.5
2023-11-23 19:00,Patchy rain possible,12.2
2023-11-23 20:00,Light drizzle,12.1
2023-11-23 21:00,Patchy rain possible,11.5
2023-11-23 22:00,Patchy rain possible,10.5
2023-11-23 23:00,Patchy rain possible,10.4
2023-11-24 00:00,Patchy rain possible,9.9
2023-11-24 01:00,Patchy rain possible,9.0
2023-11-24 02:00,Overcast,8.8
2023-11-24 03:00,Patchy rain possible,8.6
2023-11-24 04:00,Patchy rain possible,8.3
2023-11-24 05:00,Patchy rain possible,8.1
2023-11-24 06:00,Patchy rain possible,8.0
2023-11-24 07:00,Patchy rain possible,8.0
2023-11-24 08:00,Patchy rain possible,7.6
2023-11-24 09:00,Patchy rain possible,7.1
2023-11-24 10:00,Patchy rain possible,7.3
2023-11-24 11:00,Sunny,7.2
2023-11-24 12:00,Sunny,7.1
2023-11-24 13:00,Sunny,6.9
2023-11-24 14:00,Sunny,6.6
2023-11-24 15:00,Sunny,5.9
2023-11-24 16:00,Sunny,4.8
2023-11-24 17:00,Clear,4.2
2023-11-24 18:00,Clear,3.8
2023-11-24 19:00,Clear,3.4
2023-11-24 20:00,Clear,3.1
2023-11-24 21:00,Clear,2.7
2023-11-24 22:00,Clear,2.5
2023-11-24 23:00,Clear,2.3
2023-11-25 00:00,Clear,2.1
2023-11-25 01:00,Clear,1.9
2023-11-25 02:00,Clear,1.8
2023-11-25 03:00,Clear,1.7
2023-11-25 04:00,Clear,1.6
2023-11-25 05:00,Clear,1.4
2023-11-25 06:00,Clear,1.5
2023-11-25 07:00,Clear,1.6
2023-11-25 08:00,Sunny,1.5
2023-11-25 09:00,Sunny,2.2
2023-11-25 10:00,Sunny,3.4
2023-11-25 11:00,Sunny,4.4
2023-11-25 12:00,Sunny,5.1
2023-11-25 13:00,Sunny,5.5
2023-11-25 14:00,Sunny,5.4
2023-11-25 15:00,Sunny,4.8
2023-11-25 16:00,Sunny,3.8
2023-11-25 17:00,Clear,3.2
2023-11-25 18:00,Clear,2.8
2023-11-25 19:00,Clear,2.6
2023-11-25 20:00,Clear,2.4
2023-11-25 21:00,Clear,2.4
2023-11-25 22:00,Partly cloudy,2.3
2023-11-25 23:00,Partly cloudy,2.3
